time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025209,803.9,208.5,838.1,5027.5,1879.5,134.4,789,1317.2,1855.3,97.6,59.6
0.027209,799.7,255.9,1036.3,4035.3,1879.1,155.7,789.2,1318.8,1857,97.7,60.4
0.029209,795.0,267.7,1230.5,3727.9,1876.9,167.3,789.6,1321.3,1859.7,97.7,61.2
0.031209,797.2,239.4,1296.7,4131.5,1875.1,158.2,790.1,1324.7,1863.5,97.8,61.9
0.033209,801.3,207.4,1102.5,5213.8,1875.5,144.5,790.7,1329.2,1868.4,97.8,62.6
0.035209,803.8,190.1,1880.2,138.8,2697.2,411.9,791.5,1334.6,1874.4,97.9,63.2
0.037209,803.1,197.2,1892.0,154.0,2680.8,418.3,792.4,1341,1881.4,98,63.9
0.039209,798.9,209.1,983.9,3807.3,1905.0,176.4,793.5,1348.2,1889.4,98,64.5
0.041209,794.1,204.0,1255.9,2872.5,1912.6,180.8,794.7,1356.4,1898.5,98.1,65.1
0.043209,791.0,187.1,1360.5,2421.6,1918.1,172.9,796,1365.4,1908.5,98.1,65.8
0.045209,792.2,178.1,1368.6,2346.0,1923.3,164.6,797.4,1375.2,1919.4,98.2,66.5
0.047209,799.6,186.2,1260.1,2480.3,1927.0,160.2,798.9,1385.8,1931.3,98.2,67.2
0.049209,809.0,191.5,1150.7,2584.6,1923.9,158.9,800.5,1397.1,1944.1,98.2,67.8
0.051209,814.5,180.9,1123.4,2677.1,1916.8,154.5,802.2,1409.1,1957.8,98.3,68.4
0.053209,816.4,163.0,1155.5,2814.6,1910.9,148.0,803.9,1421.7,1972.2,98.3,69
0.055209,815.8,153.2,1247.0,2844.2,1908.3,149.7,805.8,1434.9,1987.5,98.3,69.5
0.057209,813.1,159.1,1394.1,2521.0,1906.3,171.1,807.7,1448.7,2003.5,98.3,70
0.059209,810.0,167.4,1508.8,2110.0,1900.8,202.9,809.7,1463,2020.2,98.3,70.5
0.061209,809.7,161.0,1582.8,1956.2,1892.2,215.5,811.7,1477.6,2037.6,98.4,70.9
0.063209,811.2,147.9,1647.0,1971.1,1883.8,211.1,813.7,1492.7,2055.6,98.4,71.2
0.065209,812.4,140.1,1702.4,2092.7,1878.0,202.7,815.8,1508.1,2074.1,98.4,71.4
0.067209,811.8,147.5,1736.0,2209.8,1876.4,207.4,817.9,1523.8,2093.2,98.3,71.6
0.069209,810.4,160.8,1775.2,2189.0,1875.5,224.2,819.9,1539.6,2112.8,98.3,71.8
0.071209,811.0,159.3,1843.7,2151.4,1871.8,228.5,822,1555.6,2132.8,98.3,71.9
0.073209,813.7,147.6,1867.1,215.5,1924.4,2246.8,824.1,1571.7,2153.2,98.3,72
0.075209,817.0,139.8,1864.7,198.3,1977.0,2506.0,826.1,1587.9,2173.9,98.3,72
0.077209,819.5,148.3,1865.8,191.6,1878.0,2828.8,828.2,1604,2194.9,98.3,72.1
0.079209,819.5,167.2,1698.5,2697.8,1867.3,198.6,830.1,1620,2216.1,98.2,72.1
0.081209,818.1,170.2,1657.2,2450.8,1867.1,197.5,832.1,1635.9,2237.5,98.2,72.1
0.083209,819.4,156.9,1699.5,2438.0,1866.2,181.8,833.9,1651.5,2259,98.2,72.1
0.085209,822.7,146.1,1723.6,2638.9,1867.8,161.7,835.8,1667,2280.6,98.2,72
0.087209,826.3,151.3,1583.7,3159.5,1873.7,145.2,837.5,1682.1,2302.3,98.1,71.7
0.089209,827.7,175.1,982.7,4028.2,1880.8,145.5,839.2,1696.9,2323.9,98.1,71.4
0.091209,823.0,188.2,1882.6,173.8,2760.5,605.5,840.7,1711.4,2345.5,98.1,71.1
0.093209,818.8,178.3,1875.7,216.1,2775.1,706.1,842.2,1725.3,2366.9,98.1,70.8
0.095209,822.3,161.5,1867.3,239.1,2751.5,659.8,843.6,1738.8,2388.2,98.1,70.6
0.097209,830.7,156.6,1874.1,248.7,2745.1,535.6,844.9,1751.8,2409.3,98.1,70.4
0.099209,839.8,165.8,1886.7,271.5,2757.0,462.7,846.1,1764.2,2430.1,98.1,70.3
0.101209,842.0,171.1,1878.1,309.9,2764.4,452.2,847.2,1776.1,2450.6,98.1,70.3
0.103209,840.9,167.0,1857.5,328.8,2760.7,450.7,848.2,1787.3,2470.9,98.1,70.4
0.105209,843.8,166.5,1854.8,306.6,2736.5,430.3,849.1,1797.9,2490.7,98.1,70.6
0.107209,849.7,184.3,1858.6,278.6,2708.1,405.1,849.9,1807.8,2510.1,98.1,70.9
