time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025517,724.8,270.0,1726.2,186.7,2490.9,279.3,684.3,1673.6,2283.3,0,61
0.027517,695.5,327.8,1733.8,235.4,2480.1,226.4,684.4,1673.6,2283.7,0,62.1
0.029517,680.5,290.7,1721.6,261.5,2465.0,229.8,684.5,1673.7,2284.5,0,63.4
0.031517,681.1,237.7,1707.7,260.7,2454.4,232.3,684.7,1673.8,2285.6,0,64.5
0.033517,684.8,201.8,1692.5,5834.0,1698.2,244.3,685,1673.9,2286.9,0,65.3
0.035517,688.2,175.5,1692.0,221.5,2048.7,5341.2,685.3,1674.1,2288.6,0,65.8
0.037517,691.0,152.6,1687.2,195.5,2261.4,5345.4,685.7,1674.2,2290.6,0,65.9
0.039517,692.7,135.4,1682.9,173.3,2431.8,160.6,686.1,1674.4,2292.8,0,65.9
0.041517,692.6,132.4,1675.6,165.4,2426.1,148.5,686.5,1674.6,2295.3,0,65.7
0.043517,689.3,160.3,1660.4,192.3,2267.0,2897.4,687,1674.8,2298.1,0,65.7
0.045517,685.7,181.7,1647.1,222.8,2126.7,2020.1,687.6,1675,2301.1,0,66
0.047517,688.0,173.2,1646.4,216.7,2086.3,1846.5,688.1,1675.3,2304.4,0,66.6
0.049517,692.6,157.7,1652.0,193.3,2095.8,2013.1,688.8,1675.5,2307.8,0,67.2
0.051517,696.5,149.7,1659.7,174.4,2151.1,2603.3,689.4,1675.7,2311.5,0,67.8
0.053517,698.4,149.2,1666.4,174.7,2247.2,3888.1,690.1,1675.9,2315.4,0,68.3
0.055517,698.8,147.1,1668.7,186.5,2400.4,5716.8,690.8,1676.1,2319.4,0,68.7
0.057517,699.2,138.7,1666.9,184.4,2432.9,169.2,691.5,1676.3,2323.7,0,69
0.059517,699.8,129.4,1665.7,171.8,2430.1,158.8,692.2,1676.4,2328,102.1,69.2
0.061517,700.8,128.6,1669.6,168.2,2424.2,154.1,692.9,1676.5,2332.5,102.2,69.4
0.063517,703.6,141.6,1680.4,192.3,2414.8,168.6,693.7,1676.6,2337.1,102.3,69.5
0.065517,707.7,150.7,1690.3,224.2,2405.8,185.9,694.4,1676.6,2341.8,102.4,69.7
0.067517,709.2,143.9,1689.5,227.8,2401.9,180.6,695.1,1676.6,2346.6,102.6,69.8
0.069517,707.7,132.6,1683.0,213.5,2402.1,162.0,695.9,1676.5,2351.4,102.7,70
0.071517,702.9,130.5,1677.1,204.8,2405.9,146.3,696.6,1676.4,2356.3,102.8,70
0.073517,695.5,146.9,1674.7,216.4,2413.2,145.7,697.2,1676.2,2361.1,103,70.1
0.075517,691.8,163.3,1674.5,229.6,2419.7,154.1,697.9,1675.9,2366,103.1,70.1
0.077517,692.2,160.6,1672.3,223.0,2422.3,152.1,698.5,1675.5,2370.9,103.2,70.2
0.079517,692.7,149.3,1668.7,208.5,2421.7,139.5,699.1,1675.1,2375.7,103.4,70.2
0.081517,691.4,145.5,1666.7,207.4,2419.6,128.2,699.7,1674.6,2380.5,103.5,70.3
0.083517,690.0,154.3,1668.9,229.8,2416.8,127.4,700.2,1674,2385.2,103.6,70.4
0.085517,691.6,159.0,1672.1,247.0,2414.3,128.8,700.7,1673.3,2389.8,103.7,70.5
0.087517,693.9,151.1,1671.5,236.5,2412.8,121.3,701.2,1672.4,2394.2,103.9,70.6
0.089517,694.8,144.0,1668.8,217.1,2411.4,109.9,701.5,1671.5,2398.6,104,70.7
0.091517,694.7,152.1,1666.4,206.4,2409.1,104.4,701.9,1670.5,2402.9,104.1,70.8
0.093517,695.8,173.3,1664.0,207.5,2405.7,110.7,702.1,1669.4,2406.9,104.2,70.9
0.095517,697.9,180.9,1660.9,204.7,2403.1,117.5,702.3,1668.1,2410.9,104.3,71
0.097517,698.6,169.5,1656.8,192.0,2402.6,114.6,702.5,1666.8,2414.6,104.4,71.1
0.099517,696.4,158.1,1652.8,183.0,2404.0,109.1,702.6,1665.3,2418.1,104.4,71.2
0.101517,691.8,159.1,1648.9,191.6,2407.3,112.8,702.6,1663.7,2421.5,104.5,71.3
0.103517,688.2,165.9,1644.8,213.1,2411.6,127.7,702.6,1662,2424.6,104.6,71.4
0.105517,688.3,160.8,1641.0,217.6,2414.4,135.3,702.5,1660.1,2427.6,104.6,71.5
0.107517,689.1,147.0,1637.4,202.9,2415.2,128.1,702.3,1658.2,2430.2,104.7,71.6
0.109517,688.0,139.8,1634.0,189.2,2415.2,116.9,702,1656.1,2432.7,104.7,71.7
0.111517,685.4,146.8,1630.8,186.7,2415.0,112.3,701.7,1653.9,2434.9,104.7,71.7
0.113517,684.6,156.1,1628.2,189.1,2414.7,116.0,701.3,1651.6,2436.9,104.7,71.7
0.115517,685.4,152.2,1626.8,182.3,2414.8,116.6,700.9,1649.2,2438.7,104.7,71.8
