time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025202,226.3,1198.2,1106.9,216.9,2573.3,738.1,522.1,1056,2593.3,106.2,62.6
0.027202,379.6,987.0,1112.6,196.1,2532.1,682.3,522,1056.4,2593.9,106.1,63.7
0.029202,422.8,879.3,1115.3,180.1,2519.3,596.2,521.9,1057.2,2594.8,106,64.7
0.031202,428.3,801.2,1114.4,174.7,2529.1,521.3,521.8,1058.2,2596.1,105.9,65.5
0.033202,429.3,721.5,1108.6,189.4,2554.9,487.0,521.6,1059.5,2597.8,105.7,66
0.035202,445.7,670.2,1098.6,224.2,2594.4,493.0,521.4,1061.2,2599.8,105.6,66.4
0.037202,469.7,659.4,1092.5,252.0,2628.0,501.4,521.2,1063,2602.2,105.4,66.6
0.039202,490.1,658.2,1092.2,257.9,2643.1,488.4,520.9,1065.2,2605,105.3,66.6
0.041202,500.8,705.6,1093.2,257.6,2643.3,459.7,520.7,1067.5,2608.1,105.1,66.5
0.043202,505.5,919.2,1092.6,282.5,2635.0,441.1,520.4,1070.1,2611.4,104.9,66.5
0.045202,596.6,1368.4,1094.5,326.0,2612.8,451.3,520,1073,2615.1,104.8,66.7
0.047202,544.8,1127.2,1103.2,312.2,2587.3,504.9,519.7,1076,2619.1,104.6,67
0.049202,526.9,850.1,1109.5,267.2,2544.3,611.5,519.4,1079.1,2623.3,104.4,67.5
0.051202,521.9,775.1,1110.7,243.6,2485.4,645.3,519.1,1082.5,2627.8,104.2,68
0.053202,517.1,796.0,1106.9,254.0,2505.0,607.9,518.7,1085.9,2632.6,104.1,68.5
0.055202,530.3,788.8,1103.5,280.6,2567.2,541.2,518.4,1089.5,2637.5,103.9,69
0.057202,555.2,735.9,1105.1,292.3,2610.1,462.7,518.1,1093.1,2642.6,103.7,69.3
0.059202,575.5,688.7,1107.4,286.4,2629.4,404.2,517.9,1096.8,2647.9,103.6,69.5
0.061202,587.4,685.7,1104.1,278.8,2637.6,381.0,517.6,1100.6,2653.4,103.4,69.7
0.063202,586.6,753.9,1092.3,284.0,2652.2,417.4,517.4,1104.3,2658.9,103.3,69.8
0.065202,582.8,865.1,1079.4,298.7,2696.3,504.8,517.3,1108.1,2664.6,103.1,70
0.067202,589.6,885.4,1080.1,299.9,2745.4,545.7,517.2,1111.8,2670.4,103,70.1
0.069202,591.7,814.3,1089.2,281.5,2768.9,536.0,517.1,1115.4,2676.2,102.9,70.2
0.071202,581.9,748.4,1096.8,261.7,2778.8,514.7,517.1,1118.9,2682,102.8,70.3
0.073202,563.9,744.6,1099.9,269.2,2798.7,507.1,517.2,1122.4,2687.9,102.7,70.4
0.075202,558.6,782.9,1102.6,309.2,2830.5,507.6,517.3,1125.7,2693.7,102.6,70.5
0.077202,568.2,779.7,1108.8,325.5,2843.5,495.4,517.6,1128.8,2699.5,102.5,70.5
0.079202,569.1,738.1,1113.0,295.8,2831.8,472.0,517.9,1131.8,2705.3,102.5,70.6
0.081202,561.3,732.8,1112.1,263.0,2807.9,438.9,518.2,1134.6,2710.9,102.4,70.6
0.083202,543.1,800.1,1105.9,260.0,2784.3,412.3,518.7,1137.1,2716.5,102.4,70.7
0.085202,531.3,883.0,1098.0,285.9,2762.7,399.7,519.3,1139.4,2721.9,102.3,70.7
0.087202,544.1,891.4,1095.3,308.7,2740.9,383.3,519.9,1141.5,2727.2,102.3,70.7
0.089202,557.0,845.3,1099.9,303.3,2724.9,353.8,520.7,1143.3,2732.3,102.3,70.7
0.091202,555.9,818.6,1105.8,288.4,2722.1,318.3,521.5,1144.8,2737.2,102.2,70.7
0.093202,551.3,863.5,1107.3,302.9,2741.8,291.5,522.4,1146,2741.9,102.2,70.7
0.095202,575.0,926.5,1105.7,353.9,2770.4,273.2,523.5,1147,2746.4,102.2,70.7
0.097202,597.3,874.8,1107.3,378.6,2783.1,259.4,524.6,1147.6,2750.7,102.2,70.8
0.099202,588.5,786.1,1111.6,352.7,2778.5,249.0,525.8,1147.9,2754.7,102.2,70.8
0.101202,567.4,752.7,1113.3,322.1,2765.5,243.7,527.1,1147.9,2758.5,102.2,70.8
0.103202,542.5,795.4,1109.8,322.0,2752.3,250.7,528.6,1147.5,2762,102.2,70.8
0.105202,532.7,834.1,1104.7,335.0,2742.7,261.8,530,1146.9,2765.2,102.1,70.8
0.107202,538.7,799.9,1104.7,322.4,2735.0,260.2,531.6,1145.9,2768.1,102.1,70.8
0.109202,542.5,749.6,1107.7,292.4,2729.7,250.0,533.3,1144.6,2770.7,102.1,70.8
