time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025308,641.8,231.8,1174.1,187.1,2281.1,208.3,652.4,1149.8,2277.6,102.2,60.4
0.027308,646.7,212.6,1176.7,169.5,2284.0,194.4,652.3,1150.1,2277.9,102.2,61.4
0.029308,648.6,203.5,1178.7,157.9,2285.9,185.1,652.1,1150.5,2278.5,102.3,62.3
0.031308,648.3,220.6,1180.3,164.1,2285.7,186.2,651.9,1151.2,2279.2,102.4,63.1
0.033308,650.5,249.3,1179.9,178.0,2283.3,189.5,651.6,1152,2280.2,102.4,63.9
0.035308,655.3,251.6,1178.1,174.3,2281.9,181.7,651.3,1152.9,2281.4,102.5,64.6
0.037308,658.2,232.4,1176.8,156.5,2281.8,167.3,650.9,1154.1,2282.7,102.6,65.2
0.039308,656.3,218.4,1176.6,142.6,2282.6,156.8,650.4,1155.4,2284.3,102.6,65.8
0.041308,649.3,224.5,1177.7,143.9,2284.1,158.0,649.9,1156.8,2286,102.7,66.4
0.043308,645.3,239.0,1180.0,155.9,2286.1,170.4,649.3,1158.4,2287.9,102.8,66.9
0.045308,647.6,235.4,1180.4,156.5,2288.1,177.6,648.7,1160.1,2290,102.8,67.4
0.047308,650.1,218.4,1178.9,144.5,2289.9,174.1,648,1161.9,2292.2,102.9,67.7
0.049308,648.5,205.3,1176.7,133.3,2292.1,168.0,647.3,1163.8,2294.6,103,68
0.051308,641.4,210.1,1174.2,135.8,2295.8,167.4,646.5,1165.7,2297.1,103,68.2
0.053308,636.2,227.9,1172.2,154.1,2301.2,170.5,645.8,1167.7,2299.7,103.1,68.3
0.055308,639.7,231.1,1170.9,165.0,2305.9,166.3,644.9,1169.8,2302.4,103.2,68.5
0.057308,644.7,217.7,1169.7,158.4,2308.8,156.6,644.1,1171.9,2305.2,103.2,68.5
0.059308,645.5,207.5,1168.4,150.0,2311.9,150.0,643.2,1174,2308.1,103.3,68.6
0.061308,640.3,220.1,1168.5,157.5,2316.6,156.2,642.3,1176.1,2311,103.4,68.6
0.063308,636.7,246.6,1170.9,177.8,2322.7,172.4,641.4,1178.2,2314,103.4,68.6
0.065308,639.1,252.6,1171.8,183.3,2326.5,179.1,640.5,1180.2,2317,103.5,68.7
0.067308,641.7,239.3,1169.2,171.5,2328.3,173.8,639.5,1182.2,2320,103.5,68.8
0.069308,640.4,230.9,1164.9,161.6,2331.0,169.5,638.6,1184.1,2323,103.6,68.8
0.071308,635.0,243.6,1161.3,167.2,2336.0,177.7,637.7,1185.9,2326,103.6,69
0.073308,633.2,261.5,1161.3,179.6,2341.5,192.5,636.7,1187.7,2328.9,103.7,69.1
0.075308,636.5,256.9,1163.2,176.7,2344.9,194.9,635.8,1189.3,2331.8,103.7,69.2
0.077308,639.1,239.9,1165.0,164.3,2347.3,186.2,634.9,1190.7,2334.7,103.7,69.3
0.079308,637.5,231.0,1168.2,160.3,2349.3,178.2,634,1192,2337.4,103.7,69.4
0.081308,633.7,236.7,1175.1,176.1,2348.0,176.4,633.1,1193.2,2340.1,103.8,69.5
0.083308,635.4,237.4,1183.1,196.5,2341.6,172.9,632.2,1194.1,2342.7,103.8,69.7
0.085308,639.6,222.1,1185.0,193.4,2337.2,162.4,631.4,1194.9,2345.1,103.8,69.8
0.087308,640.7,203.9,1183.5,178.3,2337.8,151.6,630.6,1195.5,2347.5,103.8,69.9
0.089308,636.4,196.7,1182.2,171.2,2341.8,149.3,629.8,1195.8,2349.7,103.8,70
0.091308,630.5,202.7,1181.1,180.1,2344.8,160.0,629,1196,2351.7,103.8,70
0.093308,630.5,204.1,1178.5,187.2,2343.8,172.0,628.3,1195.9,2353.6,103.7,70.1
0.095308,633.8,191.4,1175.1,176.9,2342.1,173.3,627.6,1195.6,2355.4,103.7,70.2
0.097308,634.7,175.2,1173.3,160.4,2343.0,171.2,626.9,1195.1,2357,103.7,70.3
0.099308,629.8,168.6,1173.3,151.9,2346.5,177.4,626.3,1194.3,2358.4,103.6,70.3
0.101308,622.6,173.3,1173.4,154.3,2349.8,192.0,625.7,1193.3,2359.6,103.6,70.4
0.103308,621.2,174.0,1171.7,153.5,2350.2,198.2,625.2,1192.1,2360.7,103.5,70.4
