time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025252,551.9,877.0,1113.2,483.1,2391.0,1368.3,703.2,1399.2,2304.7,0,55.4
0.027252,598.4,560.2,1127.7,393.4,2320.4,802.6,703.3,1399.5,2305,0,57
0.029252,630.3,456.4,1136.5,370.9,2330.9,674.5,703.7,1400,2305.5,0,58.2
0.031252,657.4,408.2,1145.8,378.6,2346.8,622.6,704.1,1400.6,2306.1,0,59
0.033252,689.0,382.2,1165.6,425.1,2356.0,634.4,704.7,1401.5,2307,0,59.5
0.035252,724.7,375.7,1224.5,551.2,2345.2,829.5,705.4,1402.6,2308.1,0,59.8
0.037252,753.1,382.7,1438.0,708.8,2157.7,1875.0,706.2,1403.8,2309.3,0,60.1
0.039252,755.0,416.9,883.5,5336.4,1598.4,376.9,707.1,1405.3,2310.7,0,60.6
0.041252,722.3,438.4,1296.0,4818.4,1595.5,278.5,708.1,1406.9,2312.3,0,61.5
0.043252,696.7,376.7,1549.7,305.2,2264.2,2139.5,709.2,1408.7,2314.1,0,62.7
0.045252,708.2,310.1,1513.9,280.7,2389.3,922.7,710.4,1410.6,2316,0,63.9
0.047252,723.8,269.0,1511.6,246.3,2360.6,717.7,711.8,1412.7,2318,0,65
0.049252,737.9,235.3,1519.6,212.6,2374.9,628.9,713.2,1415,2320.3,0,65.7
0.051252,748.6,208.7,1528.7,183.2,2393.2,574.5,714.6,1417.4,2322.6,91.4,66
0.053252,755.8,188.1,1537.6,158.5,2411.4,538.4,716.2,1420,2325.1,91.8,66.2
0.055252,754.5,183.4,1546.1,147.4,2431.4,535.3,717.8,1422.6,2327.7,92.2,66.1
0.057252,740.9,206.5,1554.8,166.0,2455.0,565.0,719.5,1425.4,2330.4,92.7,66
0.059252,733.6,226.9,1561.1,198.3,2459.5,553.0,721.2,1428.4,2333.2,93.2,66.1
0.061252,737.3,218.4,1560.6,204.1,2454.5,525.7,723,1431.4,2336.2,93.6,66.2
0.063252,743.9,200.6,1558.1,190.7,2456.0,512.7,724.8,1434.5,2339.2,94.1,66.5
0.065252,752.1,191.8,1556.8,179.9,2463.6,519.6,726.6,1437.7,2342.2,94.6,66.8
0.067252,762.1,199.7,1556.7,186.7,2471.5,560.6,728.4,1441,2345.4,95.1,67.2
0.069252,769.9,204.6,1554.7,198.8,2466.6,622.9,730.2,1444.4,2348.5,95.5,67.5
0.071252,773.5,191.0,1549.7,194.2,2448.5,678.9,732.1,1447.8,2351.8,96,67.8
0.073252,774.2,172.4,1545.8,175.7,2434.2,700.2,733.9,1451.2,2355,96.4,68
0.075252,771.6,163.1,1543.7,158.4,2436.2,703.5,735.7,1454.7,2358.3,96.9,68.1
0.077252,762.7,175.2,1542.0,156.9,2453.2,690.0,737.5,1458.3,2361.6,97.3,68.1
0.079252,752.3,195.3,1538.6,168.8,2450.4,657.6,739.3,1461.8,2364.8,97.7,68.2
