time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025465,670.9,468.7,1517.6,314.2,2382.1,171.4,650.2,1474.2,2347.4,0,56.5
0.027465,651.7,395.0,1500.4,375.4,2390.2,269.4,650.4,1474.1,2347.4,0,58.7
0.029465,655.0,302.7,1482.5,353.0,2384.1,282.4,650.7,1474,2347.4,0,60.5
0.031465,662.0,247.2,1474.1,315.6,2376.6,267.5,651.2,1473.8,2347.4,0,62
0.033465,667.6,210.0,1471.0,281.5,2371.4,246.7,651.8,1473.6,2347.4,97.3,63
0.035465,671.7,182.2,1470.7,252.5,2368.5,224.8,652.5,1473.3,2347.4,97.4,63.8
0.037465,674.5,163.4,1473.8,232.4,2368.3,204.4,653.3,1473,2347.4,97.5,64.4
0.039465,677.3,160.6,1483.0,231.9,2370.5,191.3,654.3,1472.6,2347.3,97.7,64.8
0.041465,683.4,171.6,1496.5,247.2,2371.3,189.8,655.3,1472.2,2347.3,97.8,65.3
0.043465,688.7,172.5,1500.6,248.7,2368.2,190.2,656.4,1471.7,2347.2,98,65.7
0.045465,689.8,161.6,1495.9,234.7,2365.1,183.5,657.7,1471.2,2347.2,98.1,66.1
0.047465,688.8,151.6,1490.0,218.6,2363.4,174.1,659,1470.6,2347.1,98.3,66.4
0.049465,687.1,155.5,1484.7,214.3,2362.2,174.0,660.4,1470,2347,98.4,66.7
0.051465,686.5,176.4,1478.7,227.6,2357.7,194.7,661.8,1469.3,2346.8,98.6,67
0.053465,687.2,185.1,1471.0,235.1,2349.6,218.6,663.3,1468.6,2346.7,98.8,67.3
0.055465,687.3,172.4,1464.1,224.6,2342.8,223.1,664.8,1467.8,2346.5,98.9,67.5
0.057465,685.9,156.1,1459.2,209.1,2338.8,217.6,666.3,1466.9,2346.3,99,67.7
0.059465,681.3,152.8,1455.9,202.5,2334.8,221.2,667.9,1466,2346,99.2,67.8
0.061465,673.7,171.4,1453.0,209.6,2326.5,250.4,669.4,1465.1,2345.7,99.3,67.9
0.063465,669.7,188.3,1449.9,211.6,2314.8,282.8,670.9,1464.1,2345.4,99.4,68
0.065465,670.8,182.1,1448.0,199.5,2309.8,284.3,672.4,1463.1,2345,99.6,68.1
0.067465,671.7,167.2,1447.6,185.5,2311.5,270.7,673.9,1462,2344.6,99.7,68.1
0.069465,668.6,162.5,1448.5,183.4,2315.2,266.5,675.3,1460.8,2344.1,99.8,68.3
0.071465,662.6,176.3,1450.2,197.2,2315.8,279.9,676.6,1459.6,2343.6,99.9,68.4
0.073465,661.0,186.4,1450.4,203.7,2313.4,283.4,677.9,1458.4,2343,100,68.5
0.075465,663.9,176.8,1449.5,192.0,2313.8,263.8,679.1,1457.1,2342.4,100.1,68.6
0.077465,665.7,160.9,1448.3,175.8,2318.1,238.1,680.2,1455.8,2341.7,100.2,68.7
0.079465,662.0,154.6,1445.8,167.6,2325.0,222.2,681.1,1454.4,2341,100.3,68.7
0.081465,652.9,167.4,1440.1,172.7,2331.7,225.9,682,1453,2340.2,100.4,68.8
0.083465,648.0,180.2,1433.0,176.2,2332.9,234.9,682.7,1451.6,2339.3,100.5,68.8
0.085465,649.9,173.4,1428.7,168.1,2331.1,229.2,683.3,1450.1,2338.4,100.5,68.9
0.087465,652.7,159.3,1427.3,158.1,2330.2,216.6,683.7,1448.5,2337.4,100.6,69
0.089465,651.7,155.2,1427.9,159.5,2328.6,217.3,684,1447,2336.4,100.7,69.1
0.091465,648.7,169.1,1430.6,178.4,2321.5,245.8,684.2,1445.4,2335.2,100.7,69.2
0.093465,650.4,179.4,1433.0,191.8,2310.0,274.6,684.1,1443.7,2334.1,100.8,69.3
0.095465,654.8,169.4,1433.0,184.4,2304.7,270.7,683.9,1442.1,2332.8,100.8,69.4
0.097465,657.2,152.3,1432.1,171.7,2307.5,248.1,683.6,1440.4,2331.5,100.9,69.5
0.099465,654.5,143.2,1430.8,170.9,2311.8,229.4,683,1438.7,2330.2,101,69.6
0.101465,648.6,147.8,1428.4,188.8,2310.0,228.3,682.3,1437,2328.8,101,69.7
0.103465,647.3,151.3,1425.0,201.1,2304.1,232.5,681.4,1435.2,2327.3,101,69.8
0.105465,650.4,143.2,1423.1,192.3,2304.1,226.4,680.4,1433.5,2325.8,101.1,69.9
0.107465,652.8,132.4,1423.1,178.2,2311.2,218.4,679.1,1431.7,2324.3,101.1,70
0.109465,651.4,130.3,1423.7,176.2,2321.4,228.4,677.7,1430,2322.7,101.2,70.1
0.111465,648.5,139.6,1423.1,193.3,2327.8,272.5,676.2,1428.2,2321.1,101.2,70.1
0.113465,650.0,143.9,1420.2,208.5,2323.9,318.9,674.5,1426.5,2319.4,101.2,70.2
0.115465,653.5,134.9,1416.5,202.9,2318.8,318.1,672.6,1424.7,2317.8,101.2,70.2
0.117465,655.3,124.0,1415.2,188.9,2319.8,286.6,670.6,1423,2316.1,101.3,70.3
0.119465,653.1,124.5,1416.3,186.1,2321.3,261.7,668.5,1421.3,2314.4,101.3,70.2
0.121465,648.8,140.1,1417.0,202.4,2316.7,262.8,666.2,1419.6,2312.6,101.3,70.2
0.123465,648.6,150.5,1414.1,215.5,2306.1,273.2,663.9,1417.9,2310.9,101.3,70.2
0.125465,651.1,143.4,1410.6,208.4,2298.7,270.4,661.4,1416.2,2309.2,101.3,70.2
0.127465,652.1,132.7,1411.3,193.8,2300.4,258.4,658.8,1414.6,2307.4,101.4,70.2
0.129465,649.0,131.9,1416.7,189.7,2306.5,258.8,656.2,1413,2305.7,101.4,70.2
0.131465,644.2,141.8,1422.6,201.0,2308.5,286.7,653.5,1411.5,2304,101.4,70.2
0.133465,643.7,143.5,1422.4,207.3,2302.5,316.7,650.7,1410,2302.4,101.4,70.2
0.135465,646.1,132.7,1418.7,197.6,2298.8,315.2,647.9,1408.5,2300.8,101.4,70.2
0.137465,647.0,122.0,1416.3,185.1,2302.9,291.1,645.1,1407.1,2299.2,101.4,70.3
0.139465,644.3,121.8,1414.9,187.3,2305.6,268.4,642.2,1405.8,2297.7,101.4,70.3
0.141465,641.1,130.1,1410.7,206.4,2297.5,258.9,639.4,1404.5,2296.2,101.4,70.4
0.143465,641.9,129.6,1403.8,214.7,2286.9,249.5,636.6,1403.2,2294.8,101.4,70.4
0.145465,644.6,119.0,1400.6,203.0,2286.2,233.0,633.8,1402.1,2293.4,101.5,70.5
0.147465,645.2,109.9,1402.7,188.6,2293.7,219.8,631.1,1401,2292.1,101.5,70.5
0.149465,642.0,112.0,1407.7,189.5,2300.9,226.0,628.5,1399.9,2290.9,101.5,70.5
0.151465,638.5,123.8,1410.7,208.0,2298.9,256.1,625.9,1398.9,2289.8,101.5,70.5
0.153465,639.7,127.8,1409.3,218.8,2291.2,276.9,623.4,1398,2288.8,101.5,70.5
0.155465,643.0,120.6,1408.5,209.9,2291.3,267.5,621.1,1397.2,2287.9,101.5,70.5
0.157465,644.6,114.8,1411.2,196.6,2298.6,245.3,618.8,1396.4,2287,101.5,70.5
0.159465,643.2,122.7,1414.0,196.8,2303.2,232.5,616.7,1395.7,2286.3,101.5,70.5
0.161465,642.2,141.1,1411.0,209.7,2299.5,234.1,614.7,1395.1,2285.7,101.4,70.5
0.163465,644.3,146.7,1403.7,212.8,2292.0,235.8,612.9,1394.5,2285.2,101.4,70.5
0.165465,646.6,137.6,1399.9,202.7,2290.9,231.7,611.3,1394.1,2284.8,101.4,70.5
0.167465,646.1,128.5,1402.3,194.3,2297.8,230.1,609.8,1393.6,2284.6,101.4,70.4
0.169465,641.2,128.7,1408.4,201.8,2305.8,244.1,608.5,1393.3,2284.4,101.4,70.3
0.171465,637.4,136.1,1413.9,225.8,2309.3,269.9,607.4,1393,2284.4,101.4,70.3
0.173465,639.5,136.5,1415.3,239.2,2311.3,275.8,606.5,1392.8,2284.4,101.4,70.2
