variable,speaker,time,word,realization
velar nasals,KT002,32.77,picking,
velar nasals,KT002,35.08,eating,
velar nasals,KT002,69.33,english,
velar nasals,KT002,102.18,long,
velar nasals,KT002,155.5,long,
velar nasals,KT002,168.59,things,
velar nasals,KT002,185.54,riding,
velar nasals,KT002,187.44,camping,
velar nasals,KT002,204.26,younger,
velar nasals,KT002,206,along,
velar nasals,KT002,207.23,younger,
velar nasals,KT002,213.68,along,
velar nasals,KT002,226.72,nothing,
velar nasals,KT002,229.02,riding,
velar nasals,KT002,230.7,skiing,
velar nasals,KT002,233.2,playing,
velar nasals,KT002,255.43,something,
velar nasals,KT002,268.67,something,
velar nasals,KT002,319.44,getting,
velar nasals,KT002,323.22,thanksgiving,
velar nasals,KT002,323.79,thanksgiving,
velar nasals,KT002,324.9,having,
velar nasals,KT002,330.56,growing,
velar nasals,KT002,336.35,growing,
velar nasals,KT002,344.66,going,
velar nasals,KT002,355.63,mining,
velar nasals,KT002,363.05,coming,
velar nasals,KT002,373.82,taking,
velar nasals,KT002,480.81,thing,
velar nasals,KT002,481.31,things,
velar nasals,KT002,532.53,evenings,
velar nasals,KT002,550.72,anything,
velar nasals,KT002,624.8,listening,
velar nasals,KT002,662.6,fishing,
velar nasals,KT002,664.47,fishing,
velar nasals,KT002,740.83,working,
velar nasals,KT002,743.72,hauling,
velar nasals,KT002,744.8,milking,
velar nasals,KT002,763.78,thing,
velar nasals,KT002,877.34,spanking,
velar nasals,KT002,877.5,spanking,
velar nasals,KT002,878.09,getting,
velar nasals,KT002,942.64,things,
velar nasals,KT002,944.37,anything,
velar nasals,KT002,948.54,anything,
velar nasals,KT002,966.57,youngster,
velar nasals,KT002,974.73,anything,
velar nasals,KT002,980.61,everything,
velar nasals,KT002,997.52,things,
velar nasals,KT002,1003.85,think,
velar nasals,KT002,1050.66,holdings,
velar nasals,KT002,1066.81,things,
velar nasals,KT002,1067.42,starting,
velar nasals,KT002,1073.57,starting,
velar nasals,KT002,1095.47,think,
velar nasals,KT002,1109.8,starting,
velar nasals,KT002,1111.51,building,
velar nasals,KT002,1120.37,things,
velar nasals,KT002,1121.9,tapering,
velar nasals,KT002,1128.71,thing,
velar nasals,KT002,1219.57,think,
velar nasals,KT002,1260.44,long,
velar nasals,KT002,1273.48,going,
velar nasals,KT002,1281.11,nothing,
velar nasals,KT002,1345.82,long,
velar nasals,KT002,1453.99,things,
velar nasals,KT002,1487.97,benefiting,
velar nasals,KT002,1496.75,growing,
velar nasals,KT002,1506.29,building,
velar nasals,KT002,1513.15,springboard,
velar nasals,KT002,1542.52,think,
velar nasals,KT002,1542.96,thing,
velar nasals,KT002,1579.24,depending,
velar nasals,KT002,1593.5,something,
velar nasals,KT002,1602.73,think,
velar nasals,KT002,1636.41,something,
velar nasals,KT002,1647.97,making,
velar nasals,KT002,1653.99,making,
velar nasals,KT002,1655.68,everything,
velar nasals,KT002,1689.28,working,
velar nasals,KT002,1690.44,running,
velar nasals,KT002,1691.76,think,
velar nasals,KT002,1747.1,bring,
velar nasals,KT002,1768.29,everything,
velar nasals,KT002,1802.96,working,
velar nasals,KT002,1821.42,nothing's,
velar nasals,KT002,1825.87,nothing,
velar nasals,KT002,1852.01,working,
velar nasals,KT002,1861.83,getting,
velar nasals,KT002,1891.05,working,
velar nasals,KT002,1893.31,rebuilding,
velar nasals,KT002,1905.67,alongside,
velar nasals,KT002,1908.83,making,
velar nasals,KT002,1912.21,alongside,
velar nasals,KT002,1944.6,think,
velar nasals,KT002,1982.96,thing,
velar nasals,KT002,1983.5,things,
velar nasals,KT002,1995.23,being,
velar nasals,KT002,2000.97,nothing,
velar nasals,KT002,2005.38,having,
velar nasals,KT002,2014.85,think,
velar nasals,KT002,2053.71,traveling,
velar nasals,KT002,2057.29,think,
velar nasals,KT002,2059.41,interesting,
velar nasals,KT002,2083.9,morning,
velar nasals,KT002,2105.17,waiting,
velar nasals,KT002,2133.21,living,
velar nasals,KT002,2144.75,nothing,
velar nasals,KT002,2146.93,washing,
velar nasals,KT002,2149.33,cooking,
velar nasals,KT002,2192.26,bring,
velar nasals,KT002,2203.72,cooking,
velar nasals,KT002,2216.12,anything,
velar nasals,KT002,2217.82,nothing,
velar nasals,KT002,2230.16,interesting,
velar nasals,KT002,2291.17,thinks,
velar nasals,KT002,2294.41,think,
velar nasals,KT002,2296.5,interesting,
velar nasals,KT002,2307.11,engineering,
velar nasals,KT002,2314.51,interesting,
velar nasals,KT002,2334.03,flying,
velar nasals,KT002,2381.73,following,
velar nasals,KT002,2461.3,getting,
velar nasals,KT002,2463.7,watching,
velar nasals,KT002,2471.53,thanksgiving,
velar nasals,KT002,2472,thanksgiving,
velar nasals,KT002,2481.94,thanksgiving,
velar nasals,KT002,2482.42,thanksgiving,
velar nasals,KT002,2491.47,think,
velar nasals,KT002,2503.9,thanksgiving's,
velar nasals,KT002,2504.3,thanksgiving's,
velar nasals,KT002,2509.24,thanksgiving,
velar nasals,KT002,2509.65,thanksgiving,
velar nasals,KT002,2510.42,thanksgiving,
velar nasals,KT002,2510.77,thanksgiving,
velar nasals,KT002,2528.78,exciting,
velar nasals,KT002,2562.64,think,
velar nasals,KT002,2576.84,riding,
velar nasals,KT002,2578.5,riding,
velar nasals,KT002,2591.88,think,
velar nasals,KT002,2592.83,having,
velar nasals,KT002,2599.91,thanksgivings,
velar nasals,KT002,2600.45,thanksgivings,
velar nasals,KT002,2605.25,thanksgiving,
velar nasals,KT002,2605.64,thanksgiving,
velar nasals,KT002,2846.45,young,
velar nasals,KT002,2888.93,belong,
velar nasals,KT002,2900.39,anything,
velar nasals,KT002,2923.77,things,
velar nasals,KT002,2927.83,anything,
velar nasals,KT002,2932.25,traveling,
velar nasals,KT002,2934.43,anything,
velar nasals,KT002,3003.65,things,
velar nasals,KT002,3004.58,living,
velar nasals,KT002,3027.22,everything,
velar nasals,KT002,3033.15,evenings,
